Club,Country,League,Player Names,Year,Above expectation,convertion rate of shots on target,convertion rate of total shots,Goals,Goals/xG,Matches Played,Mins,On Target,On Target Per Avg Match,onTarget/Shots per game,Shots,Shots Per Avg Match,Substitution,X G,xG Per Avg Match,xG<goals
(FIO),Italy,Serie A,Gaetano Castrovilli,2020,met expectation,0.571428571,0.363636364,4,2.797202797,9,755,7,0.88,0.636363636,11,1.38,0,1.43,0.18,Positive
(CAG),Italy,Serie A,Giovanni Simeone,2020,met expectation,1.0,0.333333333,5,1.519756839,8,664,5,0.72,0.333333333,15,2.15,0,3.29,0.47,Positive
(SAS),Italy,Serie A,Domenico Berardi,2020,met expectation,0.363636364,0.19047619,4,1.98019802,8,766,11,1.36,0.523809524,21,2.6,0,2.02,0.25,Positive
(ROM),Italy,Serie A,Henrikh Mkhitaryan,2020,Not met expectation,0.357142857,0.166666667,5,0.859106529,9,825,14,1.61,0.466666667,30,3.45,0,5.82,0.67,Negative
(ROM),Italy,Serie A,Jordan Veretout,2020,met expectation,0.571428571,0.222222222,4,1.149425287,9,769,7,0.86,0.388888889,18,2.22,0,3.48,0.43,Positive
(PAR),Italy,Serie A,Gervinho,2020,met expectation,0.8,0.307692308,4,2.030456853,8,669,5,0.71,0.384615385,13,1.85,0,1.97,0.28,Positive
(INT),Italy,Serie A,Lautaro MartInez,2020,met expectation,0.454545455,0.172413793,5,2.127659574,7,656,11,1.59,0.379310345,29,4.2,2,2.35,0.34,Positive
(ATA),Italy,Serie A,Luis Muriel,2020,met expectation,0.571428571,0.2,4,1.438848921,3,264,7,2.52,0.35,20,7.2,4,2.78,1.0,Positive
(JUV),Italy,Serie A,Cristiano Ronaldo,2020,met expectation,0.615384615,0.307692308,8,1.506591337,5,397,13,3.11,0.5,26,6.22,1,5.31,1.27,Positive
(INT),Italy,Serie A,Romelu Lukaku,2020,Not met expectation,0.7,0.318181818,7,0.962861073,6,580,10,1.64,0.454545455,22,3.6,2,7.27,1.19,Negative
(NAP),Italy,Serie A,Dries Mertens,2020,met expectation,0.363636364,0.166666667,4,1.62601626,9,616,11,1.7,0.458333333,24,3.7,0,2.46,0.38,Positive
(LAZ),Italy,Serie A,Ciro Immobile,2020,met expectation,0.625,0.227272727,5,1.340482574,6,571,8,1.33,0.363636364,22,3.66,1,3.73,0.62,Positive
(SAM),Italy,Serie A,Fabio Quagliarella,2020,met expectation,0.555555556,0.217391304,5,1.121076233,8,694,9,1.23,0.391304348,23,3.15,1,4.46,0.61,Positive
(ACM),Italy,Serie A,Zlatan Ibrahimovic,2020,met expectation,0.625,0.285714286,10,1.262626263,6,557,16,2.73,0.457142857,35,5.97,0,7.92,1.35,Positive
(NAP),Italy,Serie A,Hirving Lozano,2020,met expectation,0.363636364,0.222222222,4,1.365187713,9,568,11,1.84,0.611111111,18,3.01,0,2.93,0.49,Positive
(LEV),Germany,Bundesliga,Lucas Alario,2020,met expectation,0.636363636,0.35,7,2.280130293,6,561,11,1.86,0.55,20,3.39,1,3.07,0.52,Positive
(FRA),Germany,Bundesliga,Bas Dost,2020,Not met expectation,0.375,0.214285714,3,0.925925926,8,732,8,1.04,0.571428571,14,1.82,1,3.24,0.42,Negative
(BAY),Germany,Bundesliga,Serge Gnabry,2020,met expectation,0.444444444,0.222222222,4,2.53164557,7,626,9,1.37,0.5,18,2.73,1,1.58,0.24,Positive
(WOB),Germany,Bundesliga,Wout Weghorst,2020,met expectation,0.428571429,0.24,6,1.077199282,8,778,14,1.71,0.56,25,3.05,1,5.57,0.68,Positive
(RBL),Germany,Bundesliga,Dani Olmo,2020,met expectation,0.5,0.210526316,4,1.754385965,9,834,8,0.91,0.421052632,19,2.16,0,2.28,0.26,Positive
(KOL),Germany,Bundesliga,Ellyes Skhiri,2020,met expectation,1.0,0.5,3,1.604278075,8,709,3,0.4,0.5,6,0.8,0,1.87,0.25,Positive
(BAY),Germany,Bundesliga,Thomas Muller,2020,met expectation,0.8,0.307692308,4,1.25,9,822,5,0.58,0.384615385,13,1.5,0,3.2,0.37,Positive
(UNB),Germany,Bundesliga,Max Kruse,2020,met expectation,0.6,0.461538462,6,1.351351351,7,669,10,1.42,0.769230769,13,1.85,2,4.44,0.63,Positive
(FRA),Germany,Bundesliga,Andre Silva,2020,Not met expectation,0.4375,0.189189189,7,0.942126514,9,802,16,1.9,0.432432432,37,4.38,0,7.43,0.88,Negative
(FCA),Germany,Bundesliga,Andre Hahn,2020,met expectation,0.5,0.25,3,2.083333333,7,547,6,1.04,0.5,12,2.08,2,1.44,0.25,Positive
(MAI),Germany,Bundesliga,Jean-Philippe Mateta,2020,met expectation,0.583333333,0.304347826,7,1.164725458,9,723,12,1.58,0.52173913,23,3.02,0,6.01,0.79,Positive
(HOF),Germany,Bundesliga,Andrej Kramaric,2020,met expectation,0.5,0.304347826,7,1.518438178,5,481,14,2.77,0.608695652,23,4.54,0,4.61,0.91,Positive
(SVW),Germany,Bundesliga,Niclas Fullkrug,2020,met expectation,0.571428571,0.307692308,4,1.324503311,4,293,7,2.27,0.538461538,13,4.22,1,3.02,0.98,Positive
(BMG),Germany,Bundesliga,Lars Stindl,2020,met expectation,0.444444444,0.210526316,4,1.136363636,7,567,9,1.51,0.473684211,19,3.18,2,3.52,0.59,Positive
(FCA),Germany,Bundesliga,Daniel Caligiuri,2020,met expectation,0.6,0.272727273,3,3.75,9,841,5,0.56,0.454545455,11,1.24,0,0.8,0.09,Positive
(DOR),Germany,Bundesliga,Erling Haaland,2020,met expectation,0.714285714,0.333333333,10,1.479289941,7,683,14,1.95,0.466666667,30,4.17,1,6.76,0.94,Positive
(BSC),Germany,Bundesliga,Jhon Cordoba,2020,met expectation,0.6,0.166666667,3,1.34529148,5,493,5,0.96,0.277777778,18,3.47,2,2.23,0.43,Positive
(SCF),Germany,Bundesliga,Nils Petersen,2020,met expectation,0.571428571,0.266666667,4,1.895734597,6,608,7,1.09,0.466666667,15,2.34,3,2.11,0.33,Positive
(BSC),Germany,Bundesliga,Matheus Cunha,2020,met expectation,0.4,0.230769231,6,1.749271137,9,857,15,1.66,0.576923077,26,2.88,0,3.43,0.38,Positive
(BAY),Germany,Bundesliga,Robert Lewandowski,2020,met expectation,0.705882353,0.342857143,12,1.542416452,7,672,17,2.4,0.485714286,35,4.95,1,7.78,1.1,Positive
(NAN),France,France Ligue 18,Ludovic Blas,2020,met expectation,0.571428571,0.210526316,4,2.127659574,11,990,7,0.67,0.368421053,19,1.82,1,1.88,0.18,Positive
(ANG),France,France Ligue 12,Stephane Bahoken,2020,met expectation,0.357142857,0.166666667,5,1.416430595,8,644,14,2.07,0.466666667,30,4.43,2,3.53,0.52,Positive
(LYO),France,France Ligue 9,Karl Toko,2020,Not met expectation,0.416666667,0.185185185,5,0.850340136,9,822,12,1.39,0.444444444,27,3.12,1,5.88,0.68,Negative
(MON),France,France Ligue 10,Kevin Volland,2020,met expectation,0.454545455,0.416666667,5,1.457725948,9,709,11,1.47,0.916666667,12,1.61,1,3.43,0.46,Positive
(MPE),France,France Ligue 3,Andy Delort,2020,met expectation,0.428571429,0.193548387,6,1.435406699,11,902,14,1.47,0.451612903,31,3.26,0,4.18,0.44,Positive
(LIL),France,France Ligue 4,Burak Yilmaz,2020,met expectation,0.352941176,0.214285714,6,1.315789474,10,903,17,1.79,0.607142857,28,2.95,1,4.56,0.48,Positive
(MET),France,France Ligue 5,Ibrahima Niane,2020,met expectation,0.666666667,0.285714286,6,1.739130435,6,482,9,1.77,0.428571429,21,4.14,0,3.45,0.68,Positive
(REI),France,France Ligue 2,Boulaye Dia,2020,met expectation,0.666666667,0.32,8,1.515151515,9,772,12,1.48,0.48,25,3.08,1,5.28,0.65,Positive
(PSG),France,France Ligue 20,Moise Kean,2020,met expectation,0.8,0.285714286,4,1.25,6,454,5,1.05,0.357142857,14,2.93,0,3.2,0.67,Positive
(LEN),France,France Ligue 15,Ignatius Ganago,2020,met expectation,0.571428571,0.285714286,4,1.201201201,6,452,7,1.47,0.5,14,2.94,3,3.33,0.7,Positive
(BRE),France,France Ligue 8,Irvin Cardona,2020,met expectation,0.625,0.238095238,5,1.84501845,6,627,8,1.21,0.380952381,21,3.18,5,2.71,0.41,Positive
(MON),France,France Ligue 6,Wissam Ben,2020,met expectation,0.75,0.2,6,1.045296167,10,879,8,0.86,0.266666667,30,3.24,1,5.74,0.62,Positive
(MAR),France,France Ligue 14,Florian Thauvin,2020,met expectation,0.5,0.19047619,4,1.337792642,10,835,8,0.91,0.380952381,21,2.39,0,2.99,0.34,Positive
(NIC),France,France Ligue 13,Amine Gouiri,2020,met expectation,0.4,0.153846154,4,1.201201201,9,903,10,1.05,0.384615385,26,2.74,2,3.33,0.35,Positive
(LIL),France,France Ligue 16,Jonathan Bamba,2020,met expectation,0.444444444,0.16,4,2.380952381,11,1061,9,0.81,0.36,25,2.24,1,1.68,0.15,Positive
(STR),France,France Ligue 17,Ludovic Ajorque,2020,met expectation,0.5,0.235294118,4,1.108033241,11,1008,8,0.75,0.470588235,17,1.6,0,3.61,0.34,Positive
(PSG),France,France Ligue 1,Kylian Mbappe-Lottin,2020,met expectation,0.45,0.272727273,9,1.321585903,7,610,20,3.11,0.606060606,33,5.14,1,6.81,1.06,Positive
(DIJ),France,France Ligue 19,Mama Balde,2020,Not met expectation,0.4,0.133333333,4,0.997506234,8,669,10,1.42,0.333333333,30,4.26,0,4.01,0.57,Negative
(LYO),France,France Ligue 11,Memphis Depay,2020,met expectation,0.5,0.166666667,5,1.052631579,9,903,10,1.05,0.333333333,30,3.16,3,4.75,0.5,Positive
(LEN),France,France Ligue 7,Gael Kakuta,2020,met expectation,0.833333333,0.277777778,5,1.207729469,10,786,6,0.73,0.333333333,18,2.18,1,4.14,0.5,Positive
(SOU),England,Premier League,James Ward-Prowse,2020,met expectation,0.571428571,0.4,4,5.633802817,10,960,7,0.69,0.7,10,0.99,0,0.71,0.07,Positive
(MNU),England,Premier League,Bruno Fernandes,2020,met expectation,0.5,0.233333333,7,1.28440367,9,809,14,1.64,0.466666667,30,3.52,0,5.45,0.64,Positive
(EVE),England,Premier League,Dominic Calvert-Lewin,2020,met expectation,0.555555556,0.3125,10,1.404494382,10,940,18,1.82,0.5625,32,3.23,0,7.12,0.72,Positive
(CHE),England,Premier League,Timo Werner,2020,met expectation,0.4,0.173913043,4,1.08401084,10,876,10,1.08,0.434782609,23,2.49,0,3.69,0.4,Positive
(NEW),England,Premier League,Callum Wilson,2020,met expectation,0.875,0.388888889,7,1.076923077,9,835,8,0.91,0.444444444,18,2.05,0,6.5,0.74,Positive
(LIV),England,Premier League,Diogo Jota,2020,met expectation,0.454545455,0.25,5,1.992031873,5,530,11,1.97,0.55,20,3.58,3,2.51,0.45,Positive
(CRY),England,Premier League,Wilfried Zaha,2020,met expectation,0.714285714,0.277777778,5,1.149425287,8,779,7,0.85,0.388888889,18,2.2,0,4.35,0.53,Positive
(AVL),England,Premier League,Jack Grealish,2020,met expectation,0.555555556,0.192307692,5,1.754385965,9,872,9,0.98,0.346153846,26,2.83,0,2.85,0.31,Positive
(WOL),England,Premier League,Raul Jimenez,2020,met expectation,0.4,0.153846154,4,1.212121212,10,872,10,1.09,0.384615385,26,2.83,0,3.3,0.36,Positive
(WHU),England,Premier League,Jarrod Bowen,2020,met expectation,0.8,0.181818182,4,1.360544218,10,845,5,0.56,0.227272727,22,2.47,0,2.94,0.33,Positive
(LEE),England,Premier League,Patrick Bamford,2020,Not met expectation,0.411764706,0.175,7,0.961538462,10,898,17,1.8,0.425,40,4.23,0,7.28,0.77,Negative
(LIV),England,Premier League,Mohamed Salah,2020,met expectation,0.533333333,0.228571429,8,1.307189542,9,831,15,1.71,0.428571429,35,4.0,0,6.12,0.7,Positive
(LEI),England,Premier League,Jamie Vardy,2020,Not met expectation,0.533333333,0.380952381,8,0.91954023,8,780,15,1.83,0.714285714,21,2.56,1,8.7,1.06,Negative
(TOT),England,Premier League,Harry Kane,2020,met expectation,0.466666667,0.179487179,7,1.054216867,10,956,15,1.49,0.384615385,39,3.88,0,6.64,0.66,Positive
,England,Premier League,Danny Ings,2020,met expectation,0.555555556,0.333333333,5,1.937984496,7,662,9,1.29,0.6,15,2.15,0,2.58,0.37,Positive
(BHA),England,Premier League,Neal Maupay,2020,Not met expectation,0.363636364,0.16,4,0.611620795,9,786,11,1.33,0.44,25,3.02,0,6.54,0.79,Negative
(AVL),England,Premier League,Ollie Watkins,2020,Not met expectation,0.666666667,0.272727273,6,0.933125972,9,872,9,0.98,0.409090909,22,2.4,0,6.43,0.7,Negative
(LIV),England,Premier League,Sadio Mane,2020,Not met expectation,0.307692308,0.148148148,4,0.819672131,8,785,13,1.57,0.481481481,27,3.27,1,4.88,0.59,Negative
(MNC),England,Premier League,Riyad Mahrez,2020,met expectation,0.4,0.19047619,4,2.07253886,7,612,10,1.55,0.476190476,21,3.26,0,1.93,0.3,Positive
(TOT),England,Premier League,Son Heung-Min,2020,met expectation,0.75,0.45,9,2.307692308,10,861,12,1.32,0.6,20,2.21,0,3.9,0.43,Positive
(SAP),Brazil,Campeonato Brasileiro S̩rie A,Luciano,2020,met expectation,0.647058824,0.297297297,11,1.827242525,16,1588,17,1.02,0.459459459,37,2.21,3,6.02,0.36,Positive
(CEA),Brazil,Campeonato Brasileiro S̩rie A,Vinicius,2020,met expectation,0.291666667,0.137254902,7,1.333333333,16,1348,24,1.69,0.470588235,51,3.59,1,5.25,0.37,Positive
(SAN),Brazil,Campeonato Brasileiro S̩rie A,Marinho,2020,met expectation,0.5,0.224137931,13,1.728723404,17,1662,26,1.49,0.448275862,58,3.32,2,7.52,0.43,Positive
(PAL),Brazil,Campeonato Brasileiro S̩rie A,Raphael Veiga,2020,met expectation,0.545454545,0.222222222,6,1.78041543,10,914,11,1.14,0.407407407,27,2.81,4,3.37,0.35,Positive
(PAL),Brazil,Campeonato Brasileiro S̩rie A,Luiz Adriano,2020,met expectation,0.538461538,0.333333333,7,1.121794872,14,1235,13,1.0,0.619047619,21,1.62,3,6.24,0.48,Positive
(CEA),Brazil,Campeonato Brasileiro S̩rie A,Cleber,2020,Not met expectation,0.384615385,0.12195122,5,0.740740741,17,1336,13,0.92,0.317073171,41,2.92,3,6.75,0.48,Negative
(VDG),Brazil,Campeonato Brasileiro S̩rie A,German Cano,2020,Not met expectation,0.454545455,0.27027027,10,0.997008973,19,1733,22,1.21,0.594594595,37,2.03,0,10.03,0.55,Negative
(GRE),Brazil,Campeonato Brasileiro S̩rie A,Pepe,2020,met expectation,0.538461538,0.21875,7,1.286764706,15,1397,13,0.88,0.40625,32,2.18,3,5.44,0.37,Positive
(SAP),Brazil,Campeonato Brasileiro S̩rie A,Brenner None,2020,Not met expectation,0.428571429,0.166666667,6,0.8,9,1063,14,1.25,0.388888889,36,3.22,6,7.5,0.67,Negative
(BOT),Brazil,Campeonato Brasileiro S̩rie A,Matheus Babi,2020,met expectation,0.428571429,0.1875,6,1.01010101,17,1709,14,0.78,0.4375,32,1.78,3,5.94,0.33,Positive
(FLU),Brazil,Campeonato Brasileiro S̩rie A,Nene,2020,met expectation,0.538461538,0.2,7,1.598173516,18,1434,13,0.86,0.371428571,35,2.32,0,4.38,0.29,Positive
(FLA),Brazil,Campeonato Brasileiro S̩rie A,Bruno Henrique,2020,Not met expectation,0.277777778,0.111111111,5,0.560538117,15,1412,18,1.21,0.4,45,3.03,1,8.92,0.6,Negative
(INT),Brazil,Campeonato Brasileiro S̩rie A,Thiago Galhardo,2020,met expectation,0.555555556,0.283018868,15,1.2,16,1605,27,1.6,0.509433962,53,3.14,5,12.5,0.74,Positive
(CAM),Brazil,Campeonato Brasileiro S̩rie A,Keno,2020,Not met expectation,0.322580645,0.138888889,10,0.88028169,19,1829,31,1.61,0.430555556,72,3.74,3,11.36,0.59,Negative
(RBB),Brazil,Campeonato Brasileiro S̩rie A,Alerrandro,2020,Not met expectation,0.454545455,0.208333333,5,0.823723229,10,861,11,1.21,0.458333333,24,2.65,2,6.07,0.67,Negative
(FOR),Brazil,Campeonato Brasileiro S̩rie A,Wellington Paulista,2020,met expectation,0.5,0.25,6,1.123595506,13,1208,12,0.94,0.5,24,1.89,8,5.34,0.42,Positive
(RBB),Brazil,Campeonato Brasileiro S̩rie A,Claudinho,2020,met expectation,0.526315789,0.188679245,10,2.386634845,19,1657,19,1.09,0.358490566,53,3.04,1,4.19,0.24,Positive
(CFC),Brazil,Campeonato Brasileiro S̩rie A,Robson,2020,Not met expectation,0.352941176,0.113207547,6,0.700934579,22,1937,17,0.83,0.320754717,53,2.6,0,8.56,0.42,Negative
(FLA),Brazil,Campeonato Brasileiro S̩rie A,Pedro,2020,Not met expectation,0.4,0.217391304,10,0.959692898,12,1207,25,1.97,0.543478261,46,3.62,6,10.42,0.82,Negative
(CAP),Brazil,Campeonato Brasileiro S̩rie A,Renato Kayzer,2020,Not met expectation,0.333333333,0.152173913,7,0.92226614,17,1639,21,1.22,0.456521739,46,2.67,1,7.59,0.44,Negative
(MNU), Netherlands,Eredivisie,Donny van de Beek,2020,met expectation,0.5,0.181818182,8,1.632653061,22,2023,16,0.75,0.363636364,44,2.07,1,4.9,0.23,Positive
(AZA), Netherlands,Eredivisie,Teun Koopmeiners,2020,met expectation,0.611111111,0.314285714,11,1.177730193,25,2336,18,0.73,0.514285714,35,1.42,0,9.34,0.38,Positive
Aitor, Netherlands,Eredivisie,Cantalapiedra,2020,Not met expectation,0.304347826,0.120689655,7,0.76419214,21,1933,23,1.13,0.396551724,58,2.85,0,9.16,0.45,Negative
(FEY), Netherlands,Eredivisie,Bryan Linssen,2020,met expectation,0.358974359,0.152173913,14,1.684717208,25,2256,39,1.64,0.423913043,92,3.87,0,8.31,0.35,Positive
Tim, Netherlands,Eredivisie,Matavz,2020,met expectation,0.428571429,0.218181818,12,1.321585903,24,2157,28,1.23,0.509090909,55,2.42,1,9.08,0.4,Positive
(SEV), Netherlands,Eredivisie,Oussama Idrissi,2020,met expectation,0.382352941,0.194029851,13,1.828410689,25,2047,34,1.58,0.507462687,67,3.11,0,7.11,0.33,Positive
(AJA), Netherlands,Eredivisie,Dusan Tadic,2020,Not met expectation,0.423076923,0.174603175,11,0.972590628,25,2287,26,1.08,0.412698413,63,2.62,0,11.31,0.47,Negative
(FEY), Netherlands,Eredivisie,Steven Berghuis,2020,met expectation,0.340909091,0.168539326,15,1.122754491,24,2226,44,1.88,0.494382022,89,3.8,0,13.36,0.57,Positive
(CSK), Netherlands,Eredivisie,Chidera Ejuke,2020,met expectation,0.36,0.15,9,1.374045802,24,2147,25,1.11,0.416666667,60,2.65,1,6.55,0.29,Positive
(AZA), Netherlands,Eredivisie,Myron Boadu,2020,met expectation,0.466666667,0.233333333,14,1.055806938,24,2099,30,1.36,0.5,60,2.72,0,13.26,0.6,Positive
(AJA), Netherlands,Eredivisie,Klaas-Jan Huntelaar,2020,met expectation,0.529411765,0.28125,9,1.302460203,6,938,17,1.72,0.53125,32,3.24,12,6.91,0.7,Positive
(WIL), Netherlands,Eredivisie,Vangelis Pavlidis,2020,Not met expectation,0.35483871,0.157142857,11,0.870253165,25,2265,31,1.3,0.442857143,70,2.94,0,12.64,0.53,Negative
(EMM), Netherlands,Eredivisie,Michael de Leeuw,2020,met expectation,0.391304348,0.176470588,9,1.086956522,26,2383,23,0.92,0.450980392,51,2.03,0,8.28,0.33,Positive
(PSV), Netherlands,Eredivisie,Donyell Malen,2020,met expectation,0.34375,0.186440678,11,1.234567901,14,1245,32,2.44,0.542372881,59,4.5,0,8.91,0.68,Positive
(RZA), Netherlands,Eredivisie,Haris Vuckic,2020,met expectation,0.647058824,0.289473684,11,1.833333333,23,2194,17,0.74,0.447368421,38,1.65,2,6.0,0.26,Positive
(UTR), Netherlands,Eredivisie,Gyrano Kerk,2020,met expectation,0.555555556,0.2,10,1.335113485,24,2155,18,0.79,0.36,50,2.2,0,7.49,0.33,Positive
(AJA), Netherlands,Eredivisie,Quincy Promes,2020,met expectation,0.4,0.214285714,12,1.228249744,18,1573,30,1.81,0.535714286,56,3.38,2,9.77,0.59,Positive
(PSV), Netherlands,Eredivisie,Denzel Dumfries,2020,met expectation,0.5,0.155555556,7,1.223776224,25,2363,14,0.56,0.311111111,45,1.81,0,5.72,0.23,Positive
, Netherlands,Eredivisie,Cyriel Dessers,2020,met expectation,0.348837209,0.178571429,15,1.033769814,26,2461,43,1.66,0.511904762,84,3.24,0,14.51,0.56,Positive
(PSV), Netherlands,Eredivisie,Cody Gakpo,2020,met expectation,0.466666667,0.184210526,7,1.58013544,14,1557,15,0.92,0.394736842,38,2.32,11,4.43,0.27,Positive
