Club,Country,League,Player Names,Year,Above expectation,convertion rate of shots on target,convertion rate of total shots,Goals,Goals/xG,Matches Played,Mins,On Target,On Target Per Avg Match,onTarget/Shots per game,Shots,Shots Per Avg Match,Substitution,X G,xG Per Avg Match,xG<goals
(JUV),Spain,La Liga,Morata,2019,Not met expectation,0.4,0.173913043,12,0.694846555,25,2248,30,1.27,0.434782609,69,2.92,9,17.27,0.73,Negative
(GET),Spain,La Liga,Angel Rodriguez,2019,met expectation,0.434782609,0.188679245,10,1.228501229,9,1611,23,1.36,0.433962264,53,3.13,23,8.14,0.48,Positive
(BAR),Spain,La Liga,Lionel Messi,2019,met expectation,0.367647059,0.157232704,25,1.155802127,32,3067,68,2.11,0.427672956,159,4.93,1,21.63,0.67,Positive
(RMA),Spain,La Liga,Sergio Ramos,2019,Not met expectation,0.647058824,0.282051282,11,0.991884581,35,3100,17,0.52,0.435897436,39,1.2,0,11.09,0.34,Negative
(SEV),Spain,La Liga,Lucas Ocampos,2019,met expectation,0.388888889,0.166666667,14,1.055806938,31,2929,36,1.17,0.428571429,84,2.72,2,13.26,0.43,Positive
Santi,Spain,La Liga,Cazorla,2019,met expectation,0.458333333,0.224489796,11,1.26002291,29,2513,24,0.91,0.489795918,49,1.85,6,8.73,0.33,Positive
(LEV),Spain,La Liga,Roger,2019,Not met expectation,0.458333333,0.192982456,11,0.953206239,26,2436,24,0.94,0.421052632,57,2.22,10,11.54,0.45,Negative
(GET),Spain,La Liga,Jaime Mata,2019,Not met expectation,0.47826087,0.189655172,11,0.916666667,33,2923,23,0.75,0.396551724,58,1.89,1,12.0,0.39,Negative
(CEL),Spain,La Liga,Iago Aspas,2019,Not met expectation,0.358974359,0.166666667,14,0.890585242,37,3474,39,1.07,0.464285714,84,2.3,0,15.72,0.43,Negative
(LIS),Portugal,Primeira Liga,Pote,2019,met expectation,0.692307692,0.428571429,9,3.010033445,7,631,13,1.96,0.619047619,21,3.16,0,2.99,0.45,Positive
,Portugal,Primeira Liga,Tiquinho Soares,2019,met expectation,0.476190476,0.181818182,10,1.060445387,20,1867,21,1.07,0.381818182,55,2.8,10,9.43,0.48,Positive
(FAR),Portugal,Primeira Liga,Eduardo Mancha,2019,met expectation,1.0,0.4,2,2.083333333,4,396,2,0.48,0.4,5,1.2,0,0.96,0.23,Positive
(BRA),Portugal,Primeira Liga,Paulinho,2019,met expectation,0.447368421,0.191011236,17,1.136363636,27,2451,38,1.47,0.426966292,89,3.45,2,14.96,0.58,Positive
,Portugal,Primeira Liga,Alex Telles,2019,met expectation,0.647058824,0.282051282,11,1.366459627,28,2732,17,0.59,0.435897436,39,1.36,3,8.05,0.28,Positive
(BRA),Portugal,Primeira Liga,Bruno Viana,2019,met expectation,1.0,0.285714286,2,1.526717557,8,780,2,0.24,0.285714286,7,0.85,0,1.31,0.16,Positive
(AVE),Portugal,Primeira Liga,Mehrdad Mohammadi,2019,met expectation,0.421052632,0.142857143,8,1.088435374,27,2495,19,0.72,0.339285714,56,2.13,1,7.35,0.28,Positive
(FAM),Portugal,Primeira Liga,Carlos Valenzuela,2019,met expectation,0.666666667,0.2,2,1.941747573,7,575,3,0.5,0.3,10,1.65,1,1.03,0.17,Positive
(FAM),Portugal,Primeira Liga,Ruben Lameiras,2019,met expectation,0.444444444,0.266666667,4,1.169590643,7,624,9,1.37,0.6,15,2.28,0,3.42,0.52,Positive
(POR),Portugal,Primeira Liga,Moussa Marega,2019,met expectation,0.363636364,0.206896552,12,1.648351648,27,2471,33,1.27,0.568965517,58,2.23,2,7.28,0.28,Positive
(BEN),Portugal,Primeira Liga,Gian-Luca Waldschmidt,2019,met expectation,0.666666667,0.266666667,4,1.120448179,7,605,6,0.94,0.4,15,2.36,1,3.57,0.56,Positive
(GIL),Portugal,Primeira Liga,Samuel Lino,2019,met expectation,0.6,0.1875,3,1.376146789,6,591,5,0.8,0.3125,16,2.57,1,2.18,0.35,Positive
(VGU),Portugal,Primeira Liga,Andre Andre,2019,met expectation,1.0,0.285714286,2,1.176470588,8,645,2,0.29,0.285714286,7,1.03,0,1.7,0.25,Positive
(POR),Portugal,Primeira Liga,Mehdi Taremi,2019,met expectation,0.6,0.243243243,18,1.070154578,26,2537,30,1.12,0.405405405,74,2.77,4,16.82,0.63,Positive
(TOT),Portugal,Primeira Liga,Carlos Vinicius,2019,met expectation,0.666666667,0.272727273,18,1.453957997,19,1928,27,1.33,0.409090909,66,3.25,13,12.38,0.61,Positive
(POR),Portugal,Primeira Liga,Sergio Oliveira,2019,met expectation,0.5,0.235294118,4,1.913875598,7,642,8,1.18,0.470588235,17,2.52,1,2.09,0.31,Positive
(FER),Portugal,Primeira Liga,Douglas Tanque,2019,met expectation,0.458333333,0.152777778,11,1.453104359,23,2054,24,1.11,0.333333333,72,3.33,6,7.57,0.35,Positive
,Portugal,Primeira Liga,Fabio Abreu,2019,met expectation,0.565217391,0.245283019,13,1.172227232,27,2570,23,0.85,0.433962264,53,1.96,7,11.09,0.41,Positive
(NAC),Portugal,Primeira Liga,Brayan Riascos,2019,met expectation,0.272727273,0.115384615,3,1.382488479,8,736,11,1.42,0.423076923,26,3.36,0,2.17,0.28,Positive
,Portugal,Primeira Liga,Alex Telles,2019,Not met expectation,0.4,0.222222222,2,0.847457627,3,280,5,1.7,0.555555556,9,3.05,0,2.36,0.8,Negative
,Portugal,Primeira Liga,Fabio Martins,2019,met expectation,0.333333333,0.173913043,12,1.31147541,29,2633,36,1.3,0.52173913,69,2.49,0,9.15,0.33,Positive
(BEN),Portugal,Primeira Liga,Haris  Seferovic,2019,met expectation,0.857142857,0.5,6,1.801801802,2,337,7,1.97,0.583333333,12,3.38,5,3.33,0.94,Positive
